help EvalString_Knob None 
render Obsolete_Knob None 
dope_sheet Boolean_Knob 0.0 
hide_input Boolean_Knob 0.0 
distortion Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
power_bias Array_Knob 4.0 
onCreate PythonKnob None 
updateUI PythonKnob None 
scale XYZ_Knob 1.0 
render_mode Enumeration_Knob 6.0 
tile_color ColorChip_Knob 0.0 
bookmark Boolean_Knob 0.0 
selected Boolean_Knob 0.0 
autolabel PythonKnob None 
lifetimeEnd Array_Knob 0.0 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
useLifetime Boolean_Knob 0.0 
indicators Array_Knob 0.0 
icon File_Knob None 
gl_wireframe_overlay Obsolete_Knob None 
xpos Array_Knob -2147483648.0 
preserve_center Boolean_Knob 1.0 
gl_selectable Obsolete_Knob None 
center XYZ_Knob 0.0 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
knobChanged PythonKnob None 
lifetimeStart Array_Knob 0.0 
selectable Boolean_Knob 1.0 
gl_display Obsolete_Knob None 
panel Obsolete_Knob None 
geo_select GeoSelect_Knob None 
note_font Font_Knob None 
name String_Knob None 
cached Boolean_Knob 0.0 
note_font_size Array_Knob 11.0 
disable Disable_Knob 0.0 
gl_color ColorChip_Knob 0.0 
display Enumeration_Knob 6.0 
