help EvalString_Knob None 
lifetimeEnd Array_Knob 0.0 
note_font_color ColorChip_Knob 0.0 
m30 XYZ_Knob -0.33333337307 
updateUI PythonKnob None 
del_anim_shape Script_Knob None 
snap_menu Menu_Knob None 
reset_handles Script_Knob None 
columns Array_Knob 1.0 
receive_shadow Boolean_Knob 1.0 
scaling Scale_Knob 1.0 
rotate XYZ_Knob 0.0 
name String_Knob None 
cached Boolean_Knob 0.0 
del_key_shape Script_Knob None 
useMatrix Boolean_Knob 0.0 
set_key_shape Script_Knob None 
matrix IArray_Knob 1.0 
selected Boolean_Knob 0.0 
m31 XYZ_Knob 0.33333337307 
label Multiline_Eval_String_Knob None 
onDestroy PythonKnob None 
lifetimeStart Array_Knob 0.0 
paste_shape Script_Knob None 
note_font Font_Knob None 
gl_render_mode Obsolete_Knob None 
ypos Array_Knob 0.0 
postage_stamp_frame Array_Knob 1.0 
lens_in_haperture Array_Knob 1.0 
knobChanged PythonKnob None 
selectable Boolean_Knob 1.0 
gl_display Obsolete_Knob None 
panel Obsolete_Knob None 
geo_select GeoSelect_Knob None 
m20 XYZ_Knob 0.0 
m21 XYZ_Knob 0.0 
note_font_size Array_Knob 11.0 
gl_color ColorChip_Knob 0.0 
render Obsolete_Knob None 
xform_order Enumeration_Knob 0.0 
transform Axis_Knob None 
m11 XYZ_Knob -0.33333337307 
m10 XYZ_Knob 0.33333337307 
pivot XYZ_Knob 0.0 
onCreate PythonKnob None 
use_vertical_lock Boolean_Knob 0.0 
rows Array_Knob 1.0 
render_mode Enumeration_Knob 4.0 
export_chan Obsolete_Knob None 
bookmark Boolean_Knob 0.0 
skew XYZ_Knob 0.0 
autolabel PythonKnob None 
file_menu Menu_Knob None 
indicators Array_Knob 0.0 
lens_in_distortion Array_Knob 0.0 
gl_wireframe_overlay Obsolete_Knob None 
type Enumeration_Knob 0.0 
xpos Array_Knob -2147483648.0 
lens_in_focal Array_Knob 1.0 
gl_selectable Obsolete_Knob None 
m00 XYZ_Knob 0.0 
m01 XYZ_Knob 0.0 
lens_in_distort_b Array_Knob 0.0 
lens_in_distort_c Array_Knob 0.0 
lens_in_distort_a Array_Knob 0.0 
p2 XYZ_Knob 0.5 
p3 XYZ_Knob 0.5 
p0 XYZ_Knob -0.5 
p1 XYZ_Knob -0.5 
useLifetime Boolean_Knob 0.0 
z Array_Knob 0.0 
display Enumeration_Knob 4.0 
orientation Enumeration_Knob 0.0 
uniform_scale Double_Knob 1.0 
range_last Array_Knob 1.0 
hide_input Boolean_Knob 0.0 
deform_columns Array_Knob 19.0 
reset_tangents Script_Knob None 
cast_shadow Boolean_Knob 1.0 
import_chan Obsolete_Knob None 
deform_rows Array_Knob 19.0 
translate XYZ_Knob 0.0 
dope_sheet Boolean_Knob 0.0 
range_first Array_Knob 1.0 
postage_stamp Boolean_Knob 0.0 
disable Disable_Knob 0.0 
image_aspect Boolean_Knob 1.0 
copy_shape Script_Knob None 
lens_in_power Array_Knob 4.0 
icon File_Knob None 
tile_color ColorChip_Knob 0.0 
rot_order Enumeration_Knob 4.0 
